episode,scene_num,sequence,place,type,actor,dialogue
2,2,1,CORUSCANT,EXT,PADMÉ,Cordé...
2,2,2,CORUSCANT,EXT,CORDÉ,"... I'm sorry, m'lady... I'm... not sure I..."
2,2,3,CORUSCANT,EXT,AMIDALA,No!... No!... No!...
2,2,4,CORUSCANT,EXT,AMIDALA,I should not have come back.
2,2,5,CORUSCANT,EXT,CAPTAIN TYPHO,"M'Lady, you are still in danger."
2,2,6,CORUSCANT,EXT,CAPTAIN TYPHO,"This vote is very important. You did your duty and Cordé did hers. Now come. (she doesn't respond) M'Lady, please!"
2,4,7,SENATE CHAMBER,INT,MAS AMEDDA,"Order! We shall have order! The motion for the Republic to commission an army takes precedent, and that is what we will vote on at this time."
2,4,8,SENATE CHAMBER,INT,PALPATINE,"...My esteemed colleagues, excuse me... I have just received some tragic and disturbing news. Senator Amidala of the Naboo system... Has been assassinated!"
2,4,9,SENATE CHAMBER,INT,PALPATINE,"This grievous blow is especially personal to me. Before I became Chancellor, I served Amidala when she was Queen. She was a great leader who fought for justice, not only in this honourable assembly, but also on her home planet. She was so loved she could have been elected queen for life. She believed in public service, and she fervently believed in democracy. Her death is a great loss to us all. We will all mourn her as a relentless champion of freedom... and as a dear friend."
2,4,10,SENATE CHAMBER,INT,SENATOR ASK AAK,"How many more Senators will die before this civil strife ends! We must confront these rebels now, and they need an army to do it."
2,4,11,SENATE CHAMBER,INT,AMBASSADOR DARSANA,"Why weren't the Jedi able to stop this assassination? We are no longer safe, under their protection."
2,4,12,SENATE CHAMBER,INT,ORN FREE TAA,The Republic needs more security now! Before it comes to war.
2,4,13,SENATE CHAMBER,INT,PALPATINE,Must I remind the Senator from Malastare that negotiations are continuing with the separatists. Peace is our objective here... not war.
2,4,14,SENATE CHAMBER,INT,AMIDALA,"My noble colleagues, I concur with the Supreme Chancellor. At all costs, we do not want war!"
2,4,15,SENATE CHAMBER,INT,PALPATINE,"It is with great surprise and joy the chair recognises the Senator from Naboo, Padmé Amidala."
2,4,16,SENATE CHAMBER,INT,PADMÉ,"Less than an hour ago, an assassination attempt was made against my life. One of my bodyguards and six  others were ruthlessly and senselessly murdered. I was the target but, more importantly, I believe this security measure before you, was the target. I have led the opposition to build an army... but there is someone in this body who will stop at nothing to assure it's passage..."
2,4,17,SENATE CHAMBER,INT,PADMÉ,"I warn you, if you vote to create this army, war will follow. I have experienced the misery of war first-hand; I do not wish to do it again."
2,4,18,SENATE CHAMBER,INT,PADMÉ,"Wake up, Senators... you must wake up! If you offer the separatists violence, they can only show us violence in return! Many will lose their lives. All will lose their freedom. This decision could very well destroy the very foundation of our great Republic. I pray you do not let fear push you into a disastrous decision. Vote down this security measure, which is nothing less than a declaration of war! Does anyone here want that? I cannot believe they do."
2,4,19,SENATE CHAMBER,INT,ORN FREE TAA,My motion to defer the vote must be dealt with first. That is the rule of law.
2,4,20,SENATE CHAMBER,INT,PALPATINE,"Due to the lateness of the hour and the seriousness of this motion, we will take up these matters tomorrow. Until then, the Senate stands adjourned."
2,6,21,CHANCELLOR'S OFFICE,INT,PALPATINE,"I don't know how much longer I can hold off the vote, my friends. More and more star systems are joining the separatists."
2,6,22,CHANCELLOR'S OFFICE,INT,MACE WINDU,If they do break away -
2,6,23,CHANCELLOR'S OFFICE,INT,PALPATINE,No! I will not let that happen!
2,6,24,CHANCELLOR'S OFFICE,INT,MACE WINDU,"But if they do, you must realise there aren't enough Jedi to protect the Republic. We are keepers of the peace, not soldiers."
2,6,25,CHANCELLOR'S OFFICE,INT,PALPATINE,"Master Yoda, do you think it will really come to war?"
2,6,26,CHANCELLOR'S OFFICE,INT,YODA,"Worse than war, I fear... Much worse."
2,6,27,CHANCELLOR'S OFFICE,INT,PALPATINE,What?
2,6,28,CHANCELLOR'S OFFICE,INT,MACE WINDU,"What do you sense, Master?"
2,6,29,CHANCELLOR'S OFFICE,INT,YODA,Impossible to see ... The Dark Side clouds everything. But this I am sure of - Do their duty the Jedi will.
2,6,30,CHANCELLOR'S OFFICE,INT,DAR WAC,"The loyalist committee has arrived, my Lord."
2,6,31,CHANCELLOR'S OFFICE,INT,PALPATINE,Send them in.
2,6,32,CHANCELLOR'S OFFICE,INT,YODA,With you the force is strong... young Senator. To see you alive brings warm feeling to my heart.
2,6,33,CHANCELLOR'S OFFICE,INT,PADMÉ,"Thank you, Master Yoda. Do you have any idea who was behind the attack?"
2,6,34,CHANCELLOR'S OFFICE,INT,MACE WINDU,"Our intelligence points to disgruntled spice miners, on the moons of Naboo."
2,6,35,CHANCELLOR'S OFFICE,INT,PADMÉ,I don't wish to disagree but I think that Count Dooku was behind it.
2,6,36,CHANCELLOR'S OFFICE,INT,MACE WINDU,"You know, M'Lady, Count Dooku was once a Jedi. He wouldn't assassinate anyone, it is not in his character."
2,6,37,CHANCELLOR'S OFFICE,INT,KI-ADI-MUNDI,"He is a political idealist, not a murderer."
2,6,38,CHANCELLOR'S OFFICE,INT,YODA,"In dark times nothing is what it appears to be, but the fact remains Senator, in grave danger you are."
2,6,39,CHANCELLOR'S OFFICE,INT,PALPATINE,Count Dooku has always avoided any kind of conflict. It appears he has no desire to start a war. Why would he kill you? To what end?
2,6,40,CHANCELLOR'S OFFICE,INT,PADMÉ,"I don't know, but everything in my being tells me he was behind it..."
2,6,41,CHANCELLOR'S OFFICE,INT,PALPATINE,"Master Jedi, may I suggest that the Senator be placed under the protection of your graces."
2,6,42,CHANCELLOR'S OFFICE,INT,BAIL ORGANA,Do you think that is a wise use of manpower during these stressful times?
2,6,43,CHANCELLOR'S OFFICE,INT,PADMÉ,"Chancellor, if I may comment, I do not believe the..."
2,6,44,CHANCELLOR'S OFFICE,INT,PALPATINE,"...""situation is that serious."" No, but I do, Senator."
2,6,45,CHANCELLOR'S OFFICE,INT,PADMÉ,"Chancellor, please! I don't want any more guards!"
2,6,46,CHANCELLOR'S OFFICE,INT,PALPATINE,"I realise all too well that additional security might be disruptive for you, but perhaps someone you are familiar with... an old friend like... Master Kenobi..."
2,6,47,CHANCELLOR'S OFFICE,INT,MACE WINDU,That's possible. He has just returned from a Border dispute on Ansion.
2,6,48,CHANCELLOR'S OFFICE,INT,PALPATINE,"You must remember him, M'Lady... he watched over you during the blockade conflict."
2,6,49,CHANCELLOR'S OFFICE,INT,PADMÉ,"This is not necessary, Chancellor."
2,6,50,CHANCELLOR'S OFFICE,INT,PALPATINE,"Do it for me, M'Lady, please. I will rest easier. We had a big scare today. The thought of losing you is unbearable."
2,6,51,CHANCELLOR'S OFFICE,INT,MACE WINDU,"I will have Obi-Wan report to you immediately, M'Lady."
2,6,52,CHANCELLOR'S OFFICE,INT,YODA,"Too little about yourself you worry, Senator, and too much about politics. Be mindful of your danger, Padmé. Accept our help."
2,6,53,CHANCELLOR'S OFFICE,INT,PALPATINE,"I will not like this Republiv, that has stood for over a thousand years, be split in two"
